# BE16 Kubelka-Munk unit absorption (K) and scattering (S) coefficients.
# Source: R.S. Berns, "Artist Paint Spectral Database", CIC24 (2016) - RIT,
#   Final_artist_database.xlsx, sheet "k and s data". NINETEEN Golden Heavy
#   Body acrylic-dispersion paints, measured 380-750 nm @ 10 nm on a Macbeth
#   MS7000 integrating sphere (SPIN, 4 measurements averaged); two-constant
#   KM by the masstone-tint method, scattering of white defined as unity.
#   Saunderson k1=0.03, k2=0.65, kInstrument=1.0.
#
# RESCUED 2026-08-30. The source spreadsheet was lost and the RIT and
#   grayskyimaging links are both dead, so these numbers were read back out
#   of the generated src/color/pigments.ts verbatim - not re-derived, not
#   re-fitted. This file now IS the provenance of record for the library.
#   Only the 12 columns the engine took survive here; the other 7 paints in
#   BE16 (incl. C.P. Cadmium Red Light PR108) are NOT recoverable from it.
quantity,wavelength_nm,titanium-white,hansa-yellow,diarylide-yellow,cadmium-orange,pyrrole-red,quinacridone-red,quinacridone-magenta,dioxazine-purple,ultramarine-blue,phthalo-blue-gs,phthalo-green-bs,bone-black
S,400,1.0,0.189152,0.182748,0.091966,0.028223,0.051179,0.042969,0.032954,0.006798,0.094495,0.140489,0.021269
S,410,1.0,0.192471,0.176802,0.082771,0.027004,0.037425,0.032199,0.025561,0.00567,0.067659,0.119997,0.018725
S,420,1.0,0.208078,0.182356,0.082284,0.029051,0.031051,0.027386,0.021355,0.005379,0.053151,0.108215,0.018117
S,430,1.0,0.229192,0.188622,0.084186,0.032925,0.028797,0.025824,0.018465,0.005914,0.040768,0.097089,0.017954
S,440,1.0,0.243586,0.191268,0.087008,0.036281,0.028401,0.025591,0.016836,0.00699,0.026874,0.085875,0.018008
S,450,1.0,0.246758,0.196618,0.089393,0.040399,0.029452,0.026169,0.017363,0.007605,0.018726,0.073237,0.018143
S,460,1.0,0.26196,0.205176,0.092724,0.04463,0.031506,0.027525,0.02001,0.007524,0.015678,0.058712,0.018424
S,470,1.0,0.291372,0.202684,0.096174,0.047717,0.035597,0.029624,0.024689,0.006448,0.014209,0.043325,0.018451
S,480,1.0,0.32006,0.19348,0.100543,0.049975,0.042404,0.033418,0.033641,0.00459,0.013182,0.032851,0.018631
S,490,1.0,0.382815,0.203315,0.106656,0.052132,0.048357,0.038878,0.049816,0.003203,0.012315,0.02412,0.018729
S,500,1.0,0.486895,0.236904,0.115105,0.055461,0.052728,0.044037,0.073971,0.003283,0.011066,0.019607,0.018914
S,510,1.0,0.402961,0.296382,0.125768,0.060202,0.065728,0.052164,0.109245,0.004315,0.009741,0.017672,0.019227
S,520,1.0,0.346377,0.39461,0.135752,0.060487,0.0834,0.068467,0.172118,0.005657,0.011735,0.015451,0.019396
S,530,1.0,0.279125,0.355882,0.152503,0.058526,0.087661,0.092628,0.272787,0.007262,0.017522,0.013396,0.019542
S,540,1.0,0.20787,0.314097,0.206754,0.064295,0.08265,0.103929,0.333132,0.008836,0.027915,0.013481,0.019787
S,550,1.0,0.162818,0.262396,0.290149,0.081167,0.100029,0.104262,0.358085,0.010288,0.045617,0.016019,0.020097
S,560,1.0,0.141691,0.206682,0.26554,0.101885,0.130379,0.115898,0.415049,0.011212,0.072473,0.020772,0.020241
S,570,1.0,0.130727,0.159572,0.260094,0.127362,0.132528,0.120815,0.497284,0.01247,0.113974,0.028494,0.020547
